Date,High,Low,Open,Close,Volume,Adj Close
31-12-1998,263.3012695,257.8525696,261.6987305,261.5384521,1564134,142.2334595
04-01-1999,265.384613,255.1282043,259.9358826,257.8525696,2221674,140.2289429
05-01-1999,263.9423218,256.7307739,257.8525696,263.3012695,1641003,143.1921082
06-01-1999,268.9102478,263.3012695,264.4230652,268.4294739,2010216,145.9810486
07-01-1999,266.5064087,261.3782043,264.4230652,263.9423218,1596699,143.5407257
08-01-1999,265.5448608,257.3717957,263.7820435,262.5,1996839,142.7563171
11-01-1999,262.5,253.365387,258.9743652,255.6089783,2329041,139.0087433
12-01-1999,257.0512695,249.0384674,255.1282043,250.6410217,2095041,136.3070526
13-01-1999,252.5641022,241.1858978,243.5897369,247.5961609,2745795,134.651062
14-01-1999,251.9230804,246.9551239,248.7179565,248.8782043,1973751,135.3483582
15-01-1999,258.8141174,252.2435913,253.5256348,258.3333435,2336217,140.490387
19-01-1999,260.8974304,255.2884674,258.9743652,260.0961609,1942317,141.4490204
20-01-1999,262.0192261,254.8076935,261.0576782,257.3717957,2348034,139.9674683
21-01-1999,259.615387,253.8461609,257.3717957,254.6474304,1903980,138.4858856
22-01-1999,255.9294891,249.6794891,253.365387,250.9615326,1888770,136.4812775
25-01-1999,259.9358826,251.2820435,251.2820435,257.6923218,1798251,140.1418304
26-01-1999,261.8589783,256.25,257.6923218,261.5384521,1886313,142.2334595
27-01-1999,264.1025696,260.2564087,263.7820435,260.2564087,1737762,141.5361633
28-01-1999,267.1474304,260.8974304,260.8974304,265.2243652,1720641,144.2379608
29-01-1999,269.2307739,262.1794739,265.384613,268.9102478,2168127,146.2424316
01-02-1999,269.0705261,261.8589783,269.0705261,262.0192261,1797861,142.4949036
02-02-1999,262.3397522,255.6089783,261.5384521,261.5384521,1834794,142.2334595
03-02-1999,268.4294739,259.9358826,260.5769348,263.7820435,1839396,143.4535522
04-02-1999,265.384613,255.7692261,263.9423218,256.7307739,1841502,139.618927
05-02-1999,256.7307739,247.4358978,255.6089783,251.2820435,2640690,136.6556549
08-02-1999,253.5256348,248.0769196,251.7628174,250.1602631,1753128,136.0456238
09-02-1999,250.9615326,245.6730804,248.7179565,246.1538391,1648647,133.8667145
10-02-1999,252.884613,245.5128174,245.5128174,251.1217957,1684644,136.5684814
11-02-1999,256.7307739,249.5192261,251.1217957,256.4102478,1521117,139.4445801
12-02-1999,255.9294891,246.9551239,255.9294891,250.3205109,1886118,136.1327209
16-02-1999,256.25,249.5192261,252.7243652,253.8461609,1669590,138.0501251
17-02-1999,259.9358826,251.2820435,251.9230804,254.6474304,1827228,138.4858856
18-02-1999,259.9358826,252.4038391,256.4102478,258.0128174,1656525,140.3160248
19-02-1999,260.0961609,256.0897522,257.5320435,257.3717957,1700556,139.9674683
22-02-1999,266.6666565,256.8910217,257.3717957,266.6666565,2293512,145.0222931
23-02-1999,267.9487305,261.8589783,265.384613,264.1025696,1882413,143.6279297
24-02-1999,267.7884521,258.1730652,264.1025696,258.9743652,1793376,140.8389893
25-02-1999,260.5769348,251.4423065,258.0128174,257.3717957,2391519,139.9674683
26-02-1999,260.0961609,253.365387,258.9743652,257.2115479,2029560,139.8803406
01-03-1999,260.4166565,252.5641022,256.7307739,258.8141174,1705314,140.7518005
02-03-1999,260.8974304,252.7243652,260.0961609,254.6474304,1626963,138.4858856
03-03-1999,256.7307739,250.1602631,253.8461609,253.2051239,1974336,137.7015076
04-03-1999,258.0128174,253.2051239,253.6858978,257.6923218,1755663,140.6403351
05-03-1999,266.3461609,261.2179565,261.5384521,265.865387,2197455,145.1008759
08-03-1999,270.1923218,265.7051392,266.5064087,268.75,2709681,146.6751556
09-03-1999,274.8397522,266.9871826,267.4679565,271.7948608,2505399,148.3369446
10-03-1999,272.9166565,268.9102478,272.2756348,271.1538391,3009825,147.9870911
11-03-1999,276.2820435,271.4743652,273.2371826,274.5192261,2107404,149.8238373
12-03-1999,278.6858826,274.5192261,275.9615479,275.3205261,2434224,150.2611847
15-03-1999,282.6923218,276.9230652,276.9230652,282.3717957,2398968,154.1095734
16-03-1999,282.8525696,279.9679565,282.3717957,282.0512695,1812759,153.9346313
17-03-1999,282.0512695,276.4423218,282.0512695,278.0448608,1834365,151.7480011
18-03-1999,282.8525696,276.6025696,276.9230652,282.0512695,1734564,153.9346313
19-03-1999,289.5833435,285.2564087,285.7371826,287.1794739,3631251,156.733429
22-03-1999,286.6987305,283.0128174,285.2564087,283.0128174,1461642,154.4593658
23-03-1999,283.4935913,271.9551392,283.4935913,273.2371826,2069067,149.1241913
24-03-1999,274.8397522,271.1538391,273.2371826,273.7179565,1610310,149.3865204
25-03-1999,280.4487305,275.8012695,276.1217957,278.2051392,1723215,151.8354492
26-03-1999,279.1666565,275,278.6858826,276.4423218,1190319,150.8733978
29-03-1999,288.1410217,276.9230652,276.9230652,287.1794739,1988649,156.733429
30-03-1999,291.8269348,283.6538391,286.5384521,290.5448608,1984164,158.5700684
31-03-1999,292.7884521,283.0128174,292.3076782,283.6538391,2116491,154.8091583
01-04-1999,288.3012695,283.4935913,284.615387,286.2179565,1563822,156.2086639
05-04-1999,294.3910217,288.3012695,288.4615479,293.9102478,1531842,160.4068604
06-04-1999,292.9487305,287.8205261,291.9871826,290.5448608,1813812,158.5700684
07-04-1999,293.5897522,286.2179565,292.6282043,293.5897522,1730079,160.2319794
08-04-1999,293.5897522,288.3012695,291.3461609,291.9871826,1901679,159.357254
09-04-1999,293.4294739,286.6987305,291.9871826,287.6602478,1707849,156.9957886
12-04-1999,298.7179565,283.6538391,283.6538391,298.7179565,2260089,163.0307007
13-04-1999,301.1217957,292.3076782,292.3076782,299.8397522,2530437,163.6429901
14-04-1999,300.1602478,292.3076782,299.6794739,292.4679565,1930149,159.6196747
15-04-1999,291.8269348,282.5320435,291.0256348,288.4615479,2566629,157.4331665
16-04-1999,287.6602478,281.8910217,286.5384521,285.2564087,1990716,155.6838684
19-04-1999,287.5,257.6923218,285.2564087,268.5897522,3933852,146.587677
20-04-1999,280.9294739,266.3461609,267.9487305,280.2884521,2952183,152.9724884
21-04-1999,291.1858826,278.2051392,279.9679565,291.1858826,2331537,158.9199066
22-04-1999,294.5512695,286.0576782,294.5512695,290.384613,1936623,158.4827118
23-04-1999,293.2692261,287.8205261,288.1410217,289.4230652,1426503,157.9578857
26-04-1999,291.0256348,285.2564087,290.0641174,291.0256348,1473927,158.8325195
27-04-1999,294.7115479,285.4166565,292.4679565,288.4615479,1806129,157.4331665
28-04-1999,289.4230652,283.6538391,284.9358826,285.8974304,1584726,156.033783
29-04-1999,285.7371826,272.115387,284.615387,275.9615479,2132403,150.6110229
30-04-1999,282.6923218,265.865387,280.7692261,270.1923218,3775278,147.4623718
03-05-1999,272.115387,264.7435913,270.3525696,270.8333435,2154087,147.8122101
04-05-1999,270.6730652,265.0641174,269.2307739,269.0705261,2614482,146.8501129
05-05-1999,281.0897522,269.0705261,269.0705261,279.4871826,2426970,152.535202
06-05-1999,284.2948608,272.115387,281.8910217,277.5641174,2688855,151.4856262
07-05-1999,283.3333435,277.884613,277.884613,281.8910217,2261649,153.847168
10-05-1999,284.2948608,277.0833435,281.25,278.8461609,1504581,152.1853638
11-05-1999,286.5384521,278.8461609,281.7307739,284.4551392,1875783,155.246521
12-05-1999,283.8141174,277.5641174,283.8141174,282.5320435,1991652,154.1969604
13-05-1999,285.4166565,279.4871826,284.4551392,280.2884521,1216020,152.9724884
14-05-1999,276.6025696,268.9102478,275.6410217,271.634613,2540421,148.2495575
17-05-1999,273.5576782,268.1089783,270.3525696,272.4358826,1550211,148.6867828
18-05-1999,272.7564087,262.9807739,272.2756348,267.3076782,2104362,145.8880463
19-05-1999,277.5641174,269.8717957,270.1923218,276.9230652,1736592,151.1357574
20-05-1999,280.2884521,272.2756348,277.5641174,272.9166565,1618539,148.949173
21-05-1999,275,266.6666565,273.3974304,266.9871826,2317965,145.713089
24-05-1999,270.3525696,262.9807739,269.5512695,265.384613,1964235,144.8384552
25-05-1999,269.2307739,261.6987305,266.8269348,262.5,2060604,143.2641602
26-05-1999,265.5448608,260.2564087,265.384613,264.4230652,2505282,144.3136444
27-05-1999,264.1025696,257.0512695,264.1025696,258.1730652,1984944,140.9026184
28-05-1999,267.1474304,257.3717957,257.6923218,260.7371826,1994304,142.302063
01-06-1999,265.5448608,258.3333435,261.8589783,262.9807739,1805739,143.5264893
02-06-1999,263.9423218,257.0512695,263.3012695,261.6987305,1989117,142.8268585
03-06-1999,265.384613,261.6987305,264.2628174,263.7820435,1581996,143.9637604
04-06-1999,269.2307739,263.4615479,264.7435913,268.9102478,1517412,146.7625885
07-06-1999,269.8717957,265.2243652,266.6666565,267.7884521,1167933,146.1504059
08-06-1999,266.5064087,260.8974304,266.1858826,262.5,1406535,143.2641602
09-06-1999,263.9423218,261.5384521,262.3397522,263.3012695,1237431,143.7013855
10-06-1999,261.6987305,255.9294891,261.5384521,258.9743652,1991067,141.3399658
11-06-1999,263.1410217,256.8910217,258.9743652,259.8557739,2064192,141.8210144
14-06-1999,266.6666565,258.9743652,259.134613,266.0256348,1832298,145.1882629
15-06-1999,270.6730652,264.1025696,264.5833435,267.1474304,1705119,145.8006592
16-06-1999,276.2820435,269.3910217,269.3910217,273.8782043,2203617,149.4739532
17-06-1999,278.6858826,272.2756348,272.4358826,278.0448608,1421121,151.7480011
18-06-1999,278.0448608,275,277.0833435,275.8012695,2119650,150.5235596
21-06-1999,276.1217957,269.2307739,276.1217957,270.6730652,1563393,147.7247467
22-06-1999,274.0384521,269.2307739,270.5128174,271.4743652,1128309,148.1620789
23-06-1999,272.4358826,266.1858826,270.1923218,271.3141174,1438593,148.074585
24-06-1999,275,264.5833435,267.7884521,273.7179565,2399007,149.3865204
25-06-1999,275.4807739,266.1858826,275.1602478,267.7884521,1499823,146.1504059
28-06-1999,273.3974304,269.7115479,269.7115479,272.2756348,1505127,148.5993195
29-06-1999,281.25,272.115387,273.8782043,281.25,1839357,153.4972382
30-06-1999,289.7435913,275,279.4871826,289.7435913,2842437,158.1328125
01-07-1999,287.9807739,284.134613,287.3397522,285.8974304,1779219,156.033783
02-07-1999,289.5833435,285.0961609,286.5384521,288.9423218,1254318,157.6954498
06-07-1999,294.8717957,286.8589783,286.8589783,292.1474304,1799343,159.9415588
07-07-1999,304.4871826,292.6282043,293.4294739,302.4038391,3099759,165.5565643
08-07-1999,302.7243652,295.8333435,299.3589783,300,3008421,164.2405243
09-07-1999,302.2435913,297.2756348,300,300.3205261,2252796,164.4160004
12-07-1999,300.8012695,294.0705261,300.6410217,295.8333435,2105259,161.9594421
13-07-1999,296.9551392,292.7884521,292.9487305,296.3141174,1230879,162.2226105
14-07-1999,298.3974304,293.9102478,296.9551392,296.9551392,1356186,162.5735931
15-07-1999,301.4423218,298.0769348,298.7179565,301.4423218,1735968,165.0302124
16-07-1999,305.1282043,300.4807739,301.1217957,304.8076782,1803711,166.8725891
19-07-1999,307.6923218,302.5641174,305.1282043,307.6923218,2002533,168.451828
20-07-1999,306.5705261,300.8012695,306.25,301.4423218,1598922,165.0302124
21-07-1999,302.2435913,297.7564087,300.1602478,299.8397522,1286298,164.1527863
22-07-1999,302.0833435,293.4294739,299.0384521,294.8717957,1743261,161.433075
23-07-1999,297.5961609,292.1474304,294.8717957,295.3525696,1223586,161.696167
26-07-1999,296.9551392,291.8269348,293.75,292.3076782,1308606,160.0291901
27-07-1999,299.6794739,291.8269348,294.8717957,298.0769348,1401972,163.1877747
28-07-1999,297.4358826,291.6666565,297.4358826,292.3076782,1238289,160.0291901
29-07-1999,289.7435913,282.2115479,289.7435913,287.1794739,1764438,157.221756
30-07-1999,287.9807739,278.6858826,286.6987305,279.4871826,1653951,153.0104828
02-08-1999,281.8910217,275.9615479,277.0833435,276.6025696,1615926,151.4312439
03-08-1999,279.3269348,273.3974304,277.5641174,276.6025696,1623492,151.4312439
04-08-1999,281.8910217,273.3974304,275.9615479,273.7179565,1408368,149.8518982
05-08-1999,281.25,269.2307739,274.3589783,280.9294739,1941030,153.8000031
06-08-1999,279.3269348,272.115387,277.2435913,274.3589783,1779687,150.2029114
